MeterID,MeterName
02A_P1_09,二區A站動力總用電（一號館站
02A_P1_10,女三舍空調用電
02A_P1_13,女一舍地下室動力
02A_P2_01,植微系植物病毒研究室動力（植微系動物舍）
02A_P2_02,漁業陳列館動力（魚類標本館動力）
02A_P2_03,動物標本館（魚類標本館紅磚屋）
02A_P2_04,植物標本館西側外牆動力
02A_P2_05,大門口冷氣與路燈
02A_P2_06,植病研究所2樓動力
02A_P2_08,植物溫室動力
02A_P2_09,漁業生物實驗室動力（漁業陳列館動力）
02A_P2_10,植微系電顯室及培養室動力
02A_P2_12,大門內12米高路燈
02A_P2_14,大門口警衛室動力用電
02A_P3_03,女一舍照明
02A_P3_04,植病所1樓
02A_P3_05,植物標本館西側外牆照明
02A_P3_06,植物溫室照明
02A_P3_07,大門口警衛室L1
02A_P3_08,動物標本館照明1（魚類標本館紅磚屋）
02A_P3_09,漁業陳列館照明2（魚類標本館）
02A_P3_10,植病系病毒研究室冷氣
02A_P3_11,漁業生物實驗室照明（漁業陳列館）
02A_P3_12,植微系植物病毒研究室照明（植微系動物舍）
02A_P3_13,女一舍插座
02A_P3_14,戲劇系1樓照明
02A_P3_17,戲劇系與植病系共用照明
02A_P3_18,植病系3樓照明
02A_P3_19,女一舍燈插總用電
02A_P3_20,植物病毒研究室照明總用電
02A_P3_21,二區A站照明總用電（一號館站）
02C_P1_01,二號館MPB (1) 總電源 
02C_P1_03,二號館MLB (1) 總電源
02C_P1_04,MPB(2)雜工班
02C_P1_05,MPB(2) 路燈 (二號館)
02C_P1_06,MLB (2) 雜工班插座
02C_P1_07,二號館MPB(2)物理系1F
02C_P1_08,MPB(2)物理系1F
02C_P1_09,MPB(2) 抽水馬達 (一號館用水) 
02C_P1_10,MLB (2) 即設雜工班燈插
02C_P1_11,二號館1F物理系MP
02C_P1_12,二號館1F物理系ML
02C_P1_13,二號館2F奈米及光電所動力1
02C_P1_14,二號館2F奈米及光電所照明1
02C_P1_15,二號館2F奈米及光電所1200A
02C_P1_16,二號館2F奈米及光電所動力2
02C_P1_17,二號館2F奈米及光電所照明2
02C_P1_18,二號館2F奈米及光電所500A
02C_P1_19,二號館3F材料系MP
02C_P1_20,二號館3F材料系ML
02D_P1_01,二區D站總用電（三號館站）（高壓）
02D_P1_02,電子顯微鏡館一樓照明
02D_P1_04,農化館一樓後動力（性別平等教育委員會/金工場）
02D_P1_05,電子顯微鏡館一樓後動力
02D_P1_06,電子顯微鏡館二樓照明
02D_P1_08,女五舍照明
02D_P1_10,農化館西南側路燈
02D_P1_11,電子顯微鏡館照明總電源
02D_P1_13,電子顯微鏡館動力總電源
02D_P2_01,三號館(農化系館)一樓動力
02D_P2_02,三號館(農化系館)二樓動力
02D_P2_03,三號館(農化系館)三樓動力
02D_P2_04,物理系液態氣製室
02D_P2_05,三號館(農化系館)一樓照明
02D_P2_06,三號館(農化系館)二樓照明
02D_P2_07,三號館(農化系館)三樓照明
02D_P2_08,電顯館1F  105室
02D_P2_09,雜工班冷氣用電
02D_P2_10,農化二館暨行政大樓（高壓）
02D_P2_11,2D站動力總電源
02D_P2_12,三號館(農化系館)動力總電源
02D_P2_13,2D站照明總電源
02D_P2_14,三號館(農化系館)照明總電源
02E_P1_01,二區E站總用電（望樂樓站）（高壓）
02E_P1_02,光電晶體實驗室屋外變壓器
02E_P1_03,望樂樓1樓動力
02E_P1_04,光電晶體實驗室動力
02E_P1_05,環安衛實驗室1樓
02E_P1_06,望樂樓2樓研究室
02E_P1_07,農化系食品工廠動力
02E_P1_08,P27環安衛實驗室
02E_P1_09,P22陶瓷實驗室（材料所）
02E_P1_10,望樂樓303室
02E_P1_11,新小小福動力
02E_P1_13,P28校友接待中心
02E_P1_14,進修推廣中心二樓動力
02E_P1_15,行政大樓冷氣（高壓）
02E_P1_16,咖啡屋動力（舟山路岡亭）
02E_P1_17,咖啡屋照明（舟山路岡亭）
02E_P1_18,植研站動力總動源
02E_P1_19,光電晶體實驗室動力總電源
02E_P1_20,望樂樓動力總電源
02E_P1_21,植物系研究室動力總電源
02E_P1_23,行政大樓冷氣（低壓）
02E_P1_24,主計室空調照明
02E_P1_25,綠色化學實驗室動力
02E_P2_01,L33農化研究室照明
02E_P2_02,光電晶體實驗室照明1
02E_P2_03,光電晶體實驗室照明2
02E_P2_04,農化研究室照明(紅磚屋 含小小福)
02E_P2_05,進修推廣中心一樓照明
02E_P2_06,保管組倉庫照明
02E_P2_07,望樂樓2、3樓照明
02E_P2_08,農化系食品工廠照明
02E_P2_09,綠色化學實驗室
02E_P2_10,望樂樓1樓照明
02E_P2_11,望樂樓4樓照明
02E_P2_12,進修推廣中心二樓照明
02E_P2_14,小小福照明1
02E_P2_15,小小福照明2
02E_P2_18,植研站照明總動源
02E_P2_19,望樂樓動力總電源
02E_P2_20,農化系實驗室照明總電源
02E_P2_21,光電晶體實驗室照明總電源
02E_P2_22,夜間部大樓照明總電源
02E_P2_23,舟山路崗亭
02E_P3_01,行政大樓資訊室照明
02E_P3_02,行政大樓資訊室動力
02E_P4_01,主計室綜合業務組
02E_P4_02,職涯中心
02E_P5_01,研一男舍總用電(高壓)
02E_P5_02,研一女舍總用電
02F_P1_01,二區F站總用電（農綜館站）(高壓)
02F_P1_02,第一會議室中心動力
02F_P1_03,農綜館5F視聽教室動力
02F_P1_04,行政大樓前棟2樓動力P29
02F_P1_07,行政大樓後棟1、2樓西照明
02F_P1_08,行政大樓後棟1、2樓東照明
02F_P1_09,第一會議室中心照明
02F_P1_10,行政大樓前棟1樓東照明
02F_P1_11,行政大樓前棟2樓東照明
02F_P1_12,農產品展售中心照明
02F_P1_14,共同教室
02F_P1_17,植物工場
02F_P1_18,農化系土壤研究室動力
02F_P2_01,五號館(農工系館)二樓動力
02F_P2_02,五號館(農工系館)一樓動力
02F_P2_03,四號館(園藝系館)二樓動力
02F_P2_04,四號館(園藝系館)一樓動力
02F_P2_05,農產品展售中心動力
02F_P2_06,P45農化系土壤實驗室動力
02F_P2_07,P44生工系1樓工場
02F_P2_08,P42農綜B1動力
02F_P2_09,園藝系碩士研究室照明
02F_P2_10,園藝系果樹分析實驗室照明
02F_P2_11,四號館(園藝系館)一樓照明
02F_P2_12,四號館(園藝系館)二樓照明
02F_P2_13,五號館(農工系館)一樓照明
02F_P2_14,五號館(農工系館)二樓照明
02F_P2_15,L44生工系1樓工場照明
02F_P2_16,L45農化系土壤實驗室照明
02F_P2_17,行政大樓後棟3樓東側
02F_P2_18,行政大樓前棟2樓動力
02H_P1_01,二區H站總用電（森林館站）(高壓)
02H_P1_02,森林館一樓照明
02H_P1_03,森林館貨櫃屋旁照明
02H_P1_04,保健中心東側外牆
02H_P1_05,森林館照明
02H_P1_06,水工試驗室粒測室外
02H_P1_07,水工抽水機房照明
02H_P1_08,衛生組女廁內照明
02H_P1_09,航空測量館照明
02H_P1_10,森林館地下室照明
02H_P1_11,林產館地下室照明
02H_P1_12,2H站照明總電源
02H_P1_13,森林館總照明
02H_P1_14,保健中心總照明
02H_P2_01,森林館正門右前人行道動力
02H_P2_02,森林館貨櫃屋旁動力
02H_P2_03,水工試驗室排水槽機房
02H_P2_04,森林館1樓女廁外牆
02H_P2_05,森林館地下室MP盤
02H_P2_06,森林館動力
02H_P2_07,水工抽水機房動力
02H_P2_08,航空測量館動力
02H_P2_09,衛生組女廁內動力
02H_P2_10,衛生組外牆加壓馬達
02H_P2_11,衛生組女廁內冷氣
02H_P2_12,水工試驗室水工彎道機房外牆 
02H_P2_13,林產館地下室動力
02H_P2_14,2H站動力總電源
02H_P2_16,森林館總動力
02H_P2_17,保健中心總動力
02H_P2_18,水工試驗所總動力
03A_P1_01,三區A站總用電（計資中心站旁）（高壓）
03A_P1_02,語言大樓（高壓）
03A_P1_03,計資中心（高壓）
03A_P1_04,漁業科學館（高壓）
03A_P1_05,視聽教育館(視聽館)（高壓）
03A_P1_07,語言中心空調
03A_P1_08,計中空調
03A_P1_09,語言大樓空調盤總用電
03A_P1_10,語言中心機房冷氣總用電
03A_P1_11,語言大樓空調主機迴路用電1
03A_P1_12,語言大樓空調主機迴路用電2
03A_P1_13,語言中心機房照明
03A_P1_14,語言中心照明總用電
03B_P1_01,心理系新館（南館）VCB（高壓）
03B_P1_02,應用力學研究大樓（MVCB）（高壓）
03B_P1_03,工學院綜合大樓（H1 Panel）（高壓）
03B_P1_04,三區B站總用電
03B_P1_05,心理系及女八、九舍共用
03B_P1_06,女八、九舍空調電源
03B_P1_07,女九餐廳
03B_P1_08,心理南館空調
03B_P1_09,應力所空調1
03B_P1_10,應力所空調2
03B_P1_11,心理研究大樓（高壓）
03C_B1_01,電機新館MAIN VCB（高壓）
03C_B1_02,電機二館(電機館及工圖館)ACB1
03C_B1_03,電機二館(電機館及工圖館)ACB2
03C_B1_04,電機二館MAIN GCB（高壓）
03C_B1_05,電機二館離子束實驗室動力
03C_B1_06,電機二館離子束實驗室照明
03C_B2_01,獸醫一館(獸醫系研究室)H2（高壓）
03C_B3_01,獸醫三館HTM（高壓）
03D_P1_01,三區D站總用電（志鴻館站）（高壓）
03D_P1_02,志鴻館地下室MR盤
03D_P1_03,志鴻館地下室ML盤
03D_P1_04,女八、九舍大門口室內動力
03D_P1_05,女八、九舍1F教官室內動力
03D_P1_06,志鴻地下室MP盤
03D_P1_07,機械舊館複合材料實驗室動力
03D_P1_08,機械舊館1F右側走廊（原風洞實驗室）動力
03D_P1_09,機械舊館2F閱覽室
03D_P1_10,機械舊館1F冷凍空調實驗室動力
03D_P1_11,工學院500T實驗室照明
03D_P1_12,志鴻101室銑床機用
03D_P1_13,志鴻101室
03D_P1_15,土木系MTS實驗室（志鴻館旁）動力
03D_P2_01,志鴻館東側固體力學研究室
03D_P2_02,機械舊館1F-108 複合材料實驗室
03D_P2_03,機械舊館1F冷凍空調實驗室照明
03D_P2_04,機械舊館複合材料實驗室照明
03D_P2_05,機械舊館2F閱覽室
03D_P2_06,機械舊館1F右側走廊（原風洞實驗室）照明
03E_P1_01,一活LV1盤總電源
03E_P1_02,一活LV2-1總開關
03E_P1_03,研圖1FAC
03E_P1_04,實驗圖書館2F
03E_P1_05,實驗圖書館4F
03E_P1_06,綜合教室及禮堂動力
03E_P1_07,活動中心外牆LS4（振興草坪路燈）
03E_P1_08,研圖4F(入口)
03E_P1_10,綜合教室1F冷氣
03E_P1_11,活動中心
03E_P1_12,路燈（水杉道路燈）
03E_P1_13,綜合教室3F冷氣
03E_P1_14,綜合教室2F冷氣
03E_P1_15,活動中心
03E_P2_01,LV3 照明總電源
03E_P2_02,活動中心B1 FML
03E_P2_03,綜合教室及禮堂照明
03E_P2_04,研圖1F廁所旁
03E_P2_05,研圖1F AC
03E_P2_06,活動中心前
03E_P2_07,活動中心辦公室外
03E_P2_08,活動中心辦公室旁
03E_P2_09,研圖冷氣外
03E_P2_10,備用
03E_P2_11,備用
03E_P2_12,一活HV5（高壓）
03E_P2_13,一活HV4 電源（高壓）
03E_P2_14,一活HV3 電源 農藝館（高壓）
03E_P2_15,一活HV2 志鴻館（高壓）
03E_P2_16,一活HV1盤 M主盤（高壓）
04B_P1_01,管理學院教研館(管理學院教學館)（高壓）
04B_P1_02,管理學院教學館（高壓）
04B_P1_03,藝文中心
04B_P1_04,停車場路燈
04B_P1_05,原教堂（藝文中心）
04C_P1_01,管理學院1號館（高壓）
04D_P1_01,生機系饋線（高壓）
04E_P1_01,生機系（農機館）總用電（高壓）
04E_P1_02,農機系知武館B1
04E_P1_03,農機系一樓動力
04E_P1_04,農機知武館307室
04E_P1_05,農機一館1F燈
04F_P1_01,中非大樓MMP
04G_P1_01,博理館HTM（高壓）
04H_P1_01,水工大樓VCB（高壓）
04J_P1_01,園藝系花卉館
04J_P1_02,花卉館高壓用電
05A_P1_01,學生第二活動中心總表
05A_P1_02,管院二號館
05B_P1_01,展書樓及校警隊(高壓)
05C_P1_01,地質系總表（高壓）
05C_P1_02,幼稚園
05C_P1_03,鹿嗚堂總表（高壓）
05C_P1_04,鹿嗚堂一樓商場
05C_P1_05,鹿嗚堂二樓（戲劇廳）
05C_P1_06,鹿鳴空調主機用
05C_P1_07,鹿鳴空調水泵用
05C_P1_08,戲劇系專業照明
05D_P1_01,生工系配電室總表
05D_P1_02,地理系
05D_P1_03,華南銀行司機室
05D_P1_04,浩翰樓華南銀行
05E_P1_01,食科站總表（高壓）
05E_P1_02,食科館（高壓）
05E_P1_03,園產加工廠（高壓）
05E_P1_04,園藝系造園館（高壓）
05E_P1_05,食科所食品研發大樓
05F_P1_01,園藝系精密溫室總表1
05F_P1_02,大氣系1
05F_P1_03,-轉殖溫室-
05F_P1_04,精密溫室含轉殖溫室(CB1)
05F_P1_05,精密溫室含轉殖溫室(CB2)
05F_P1_06,大氣系(新)
05G_P1_01,人工氣候室
05G_P1_02,人工氣候室EMP總開關
05G_P1_03,人工氣候室MP總開關
05G_P1_04,人工氣候室MP1總開關
05G_P1_05,農業試驗場辨公室
05G_P1_06,種子研究室
05H_P1_01,工科海洋系總表（高壓）
05H_P1_02,環工所(高壓)
05H_P1_03,造船系（海工實驗室）（高壓）
06A_P1_01,動物醫院（1~6樓）（高壓）
06B_P1_01,獸醫二館（動物醫院7~9樓）（高壓）
06C_P1_01,動科系（高壓）
06D_P1_01,男一舍總變電站總表（高壓）
06D_P1_02,男一舍總錶(高壓)
06D_P1_03,男一舍外大餐廳
06D_P1_04,男三舍總錶及大餐廳(高壓)
06D_P1_05,男五舍總錶(高壓)
06E_P1_01,男七舍總用電（高壓）
06F_P1_01,男六八舍GCB總表（高壓）
06F_P1_02,男八舍總用電（高壓）
06G_P1_01,生技中心（高壓）
06H_P1_01,昆蟲館（高壓）
07A_P1_01,霖澤館(總)
07A_P1_02,霖澤館(停車場照明)
07A_P1_03,霖澤館饋線
07A_P1_04,霖澤館(停車場)
07B_P1_01,萬才館(總)
07B_P1_02,萬才館停車場(一般迴路)
07B_P1_03,萬才館停車場(緊急迴路)
07E_P1_01,明達館(總)
07E_P1_02,明達館(停車場照明)
07E_P1_03,明達館2F保管組場地照明
07E_P1_04,明達館2F保管組場地動力
07F_P1_01,生科館(總)
07F_P1_02,生科館(停車場照明)
07G_P1_01,水源校區總圖(飲水樓)
07H_P1_01,水源校區總電表
07H_P1_02,水源校區理化大樓
07H_P1_03,水源校區育成大樓
07H_P1_04,圖書館、資源中心及理化大樓
07H_P1_06,水源校區行政大樓
07H_P1_07,水源校區機械工廠
07H_P1_08,水源校區澄思樓
07H_P1_09,水源校區育成中心C棟
07H_P1_10,輔具中心迴路總用電
07H_P1_11,思源樓旁路燈
07H_P1_12,輔具中心動力
07H_P1_13,輔具中心照明
07H_P1_15,水源總表MCB
07H_P1_16,水源行政大樓及育成AB棟
07H_P1_17,水源理化大樓、飲水樓、機械工廠
07H_P1_18,卓越研究大樓
07H_P1_19,育成大樓A/B棟
07H_P1_20,行政大樓
07H_P1_21,澄思樓出版中心照明插座
07H_P1_22,澄思樓出版中心動力
07H_P1_23,理化大樓
07I_P1_01,大一女舍
08D_P1_01,一號館電錶1
08D_P1_02,一號館電錶2
08D_P1_03,一號館電錶3
08D_P1_04,一號館電錶4
08D_P1_05,一號館電錶5
08D_P1_06,一號館電錶6
08E_P1_01,土木研究大樓總錶
08E_P1_2,土木研究大樓停車場
08F_P1_01,環研大樓
08F_P1_02,實驗動物資源中心
08F_P1_03,環研大樓1F(環安衛)
08F_P1_04,環研大樓2F(環安衛)
08F_P1_05,環研大樓3-1F(環安衛)
at4022-1_3,鹿嗚雅舍動力
at4022-1_4,鹿嗚雅舍照明
at4022-1_5,鹿嗚堂教職員工聯誼廳
at5014_2,生技中心宿舍
at5017_3,男一舍LP表
at5017_4,男一舍MP表
at5017_5_1,男一舍
at5018_1,男三舍動力盤
at5018_2,男三舍空調
at5018_3_1,男三舍
